	dir chrom start end
Glyma01g00860 - Gm01 518297 520281
Glyma01g00870 - Gm01 523885 528879
Glyma01g00880 + Gm01 544680 550458
Glyma01g00890 + Gm01 560069 562443
Glyma01g00900 - Gm01 562675 565921
Glyma01g00910 - Gm01 567591 571678
Glyma01g00920 + Gm01 576504 579920
Glyma01g00930 + Gm01 585739 587056
Glyma01g00940 - Gm01 588234 598356
Glyma01g00950 + Gm01 599225 599816
Glyma01g00960 + Gm01 604339 612760
Glyma01g00970 + Gm01 614586 618779
Glyma01g00980 + Gm01 627759 641836
Glyma01g00990 + Gm01 643608 651049
Glyma01g01000 - Gm01 652530 658011
Glyma01g01010 + Gm01 663913 668593
Glyma01g01020 + Gm01 670903 674313
Glyma01g01030 - Gm01 681750 683275
Glyma01g01040 + Gm01 707274 708720
Glyma01g01050 - Gm01 707329 708360
Glyma01g01060 + Gm01 729912 735082
Glyma01g01070 + Gm01 736353 740661
Glyma01g01080 - Gm01 741725 745125
Glyma01g01090 - Gm01 746970 750314
Glyma01g01100 - Gm01 757766 758660
Glyma01g01110 - Gm01 760040 761175
Glyma01g01120 + Gm01 764473 771585
Glyma01g01130 + Gm01 775406 779415
Glyma01g01140 - Gm01 779768 783425
Glyma01g01150 + Gm01 786891 790824
Glyma01g01160 + Gm01 801989 811935
Glyma01g01170 + Gm01 817761 822867
Glyma01g01180 - Gm01 826833 831684
Glyma01g01190 - Gm01 837867 839526
Glyma01g01200 + Gm01 837889 839655
Glyma01g01210 - Gm01 841688 852891
Glyma01g01220 + Gm01 861799 864306
Glyma01g01230 - Gm01 864986 873299
Glyma01g01240 - Gm01 882439 883249
Glyma01g01260 + Gm01 901471 902792
Glyma01g01270 + Gm01 908209 916862
Glyma01g01280 - Gm01 919767 925783
Glyma01g01290 + Gm01 934524 936533
Glyma01g01300 - Gm01 937365 939890
Glyma01g01310 + Gm01 952598 956615
Glyma01g01320 - Gm01 955201 955648
Glyma01g01330 + Gm01 959544 963251
Glyma01g01340 - Gm01 967052 971230
Glyma01g01350 - Gm01 972976 978178
Glyma01g01360 - Gm01 980335 987294
Glyma01g01370 - Gm01 992725 997069
Glyma01g01380 - Gm01 1000911 1006549
Glyma01g01390 + Gm01 1008976 1013477
Glyma01g01400 + Gm01 1018633 1021550
Glyma01g01410 + Gm01 1023090 1025736
Glyma01g01420 + Gm01 1029052 1032914
Glyma01g01430 - Gm01 1036389 1039690
Glyma01g01440 + Gm01 1047236 1051040
Glyma01g01450 - Gm01 1052834 1053301
Glyma01g01460 + Gm01 1056845 1061613
Glyma01g01470 - Gm01 1066165 1073219
Glyma01g01480 + Gm01 1088588 1090416
Glyma01g01490 + Gm01 1091371 1094293
Glyma01g01500 - Gm01 1095457 1099007
Glyma01g01510 - Gm01 1125640 1130241
Glyma01g01520 + Gm01 1134463 1136223
Glyma01g01530 - Gm01 1138208 1139962
Glyma01g01550 - Gm01 1143929 1150322
Glyma01g01560 + Gm01 1160245 1164111
Glyma01g01570 - Gm01 1165664 1171078
Glyma01g01580 - Gm01 1185782 1188736
Glyma01g01590 - Gm01 1196370 1201167
Glyma01g01600 + Gm01 1201738 1205886
Glyma01g01610 + Gm01 1207950 1212530
Glyma01g01620 + Gm01 1215173 1220714
Glyma01g01630 + Gm01 1224318 1228531
Glyma01g01640 - Gm01 1231918 1232439
Glyma01g01650 + Gm01 1234961 1236491
Glyma01g01660 + Gm01 1237996 1238879
Glyma01g01670 - Gm01 1238848 1239179
Glyma01g01680 - Gm01 1241102 1244993
Glyma01g01690 - Gm01 1253334 1257550
Glyma01g01700 + Gm01 1273259 1279905
Glyma01g01710 - Gm01 1281608 1282155
Glyma01g01720 - Gm01 1283561 1285362
Glyma01g01730 - Gm01 1290104 1298204
Glyma01g01740 - Gm01 1307395 1316775
Glyma01g01750 + Gm01 1319535 1321703
Glyma01g01760 - Gm01 1320099 1321443
Glyma01g01770 + Gm01 1333137 1336547
Glyma01g01780 - Gm01 1342983 1347954
Glyma01g01790 - Gm01 1357514 1362465
Glyma01g01800 - Gm01 1377144 1383109
Glyma01g01810 - Gm01 1386639 1387174
Glyma01g01820 - Gm01 1391671 1392340
Glyma01g01830 + Gm01 1394377 1398349
Glyma01g01840 - Gm01 1399715 1403101
Glyma01g01850 + Gm01 1409840 1416064
Glyma01g01860 + Gm01 1434442 1438698
Glyma01g01870 + Gm01 1464476 1465031
Glyma01g01880 + Gm01 1468477 1469023
Glyma01g01890 + Gm01 1484033 1487808
Glyma01g01900 - Gm01 1489318 1495820
Glyma01g01910 + Gm01 1500901 1504003
Glyma01g01920 - Gm01 1505019 1507087
Glyma01g01930 - Gm01 1511112 1512857
Glyma01g01940 + Gm01 1514455 1515227
Glyma01g01950 - Gm01 1520440 1523899
Glyma01g01960 + Gm01 1526038 1531303
Glyma01g01970 + Gm01 1532908 1536324
Glyma01g01980 - Gm01 1537209 1538153
Glyma01g01990 - Gm01 1541377 1544307
Glyma01g02010 - Gm01 1549265 1550143
Glyma01g02020 - Gm01 1550837 1552103
Glyma01g02030 - Gm01 1551397 1555659
Glyma01g02040 - Gm01 1558850 1560186
Glyma01g02050 + Gm01 1564708 1568796
Glyma01g02060 + Gm01 1578225 1587405
Glyma01g02070 + Gm01 1596902 1598462
Glyma01g02080 - Gm01 1602933 1604459
Glyma01g02090 + Gm01 1613118 1616572
Glyma01g02100 - Gm01 1618640 1623502
Glyma01g02110 - Gm01 1626880 1628230
Glyma01g02120 + Gm01 1633765 1637207
Glyma01g02130 + Gm01 1642631 1643423
Glyma01g02140 - Gm01 1648375 1649811
Glyma01g02150 - Gm01 1653429 1656832
Glyma01g02160 + Gm01 1662474 1662971
Glyma01g02170 + Gm01 1672177 1673451
Glyma01g02180 - Gm01 1689134 1690833
Glyma01g02190 + Gm01 1721323 1722340
Glyma01g02200 + Gm01 1733635 1734434
Glyma01g02210 - Gm01 1735230 1736835
Glyma01g02230 - Gm01 1744297 1745378
Glyma01g02240 - Gm01 1749081 1752902
Glyma01g02250 + Gm01 1771763 1774261
Glyma01g02260 + Gm01 1782013 1782327
Glyma01g02270 - Gm01 1782805 1786211
Glyma01g02280 + Gm01 1789092 1791045
Glyma01g02290 - Gm01 1803283 1804135
Glyma01g02300 - Gm01 1817357 1820881
Glyma01g02310 - Gm01 1822916 1823630
Glyma01g02320 - Gm01 1825789 1829208
Glyma01g02330 - Gm01 1838156 1845830
Glyma01g02340 - Gm01 1865288 1867783
Glyma01g02350 - Gm01 1886224 1890391
Glyma01g02360 + Gm01 1905425 1906422
Glyma01g02370 - Gm01 1925994 1927294
Glyma01g02380 + Gm01 1929698 1931930
Glyma01g02390 - Gm01 1940685 1942598
Glyma01g02400 - Gm01 1969514 1975423
Glyma01g02420 - Gm01 1977644 1982495
Glyma01g02430 + Gm01 1983832 1984933
Glyma01g02440 + Gm01 1989008 1993046
Glyma01g02450 + Gm01 1998884 2000980
Glyma01g02460 + Gm01 2002837 2007112
Glyma01g02470 - Gm01 2002899 2009952
Glyma01g02480 - Gm01 2010432 2018620
Glyma01g02490 - Gm01 2020975 2021072
Glyma01g02500 - Gm01 2030283 2031409
Glyma01g02510 + Gm01 2033913 2034648
Glyma01g02520 - Gm01 2038305 2040972
Glyma01g02530 - Gm01 2053009 2054177
Glyma01g02540 - Gm01 2064700 2066242
Glyma01g02550 + Gm01 2067482 2068185
Glyma01g02560 + Gm01 2092314 2097259
Glyma01g02570 - Gm01 2102227 2107003
Glyma01g02580 + Gm01 2120068 2122737
Glyma01g02590 + Gm01 2124198 2124323
Glyma01g02600 - Gm01 2125833 2126532
Glyma01g02610 + Gm01 2138076 2139248
Glyma01g02620 - Gm01 2146284 2152212
Glyma01g02630 + Gm01 2156953 2161076
Glyma01g02640 - Gm01 2168405 2173675
Glyma01g02650 + Gm01 2177963 2179181
Glyma01g02660 - Gm01 2184746 2188719
Glyma01g02670 + Gm01 2192255 2194252
Glyma01g02680 + Gm01 2196508 2197593
Glyma01g02700 + Gm01 2199695 2201127
Glyma01g02710 - Gm01 2204079 2205240
Glyma01g02720 + Gm01 2205142 2206129
Glyma01g02730 + Gm01 2207464 2207796
Glyma01g02740 + Gm01 2209964 2211423
Glyma01g02750 + Gm01 2229462 2234133
Glyma01g02760 - Gm01 2239142 2244231
Glyma01g02770 - Gm01 2266522 2266830
Glyma01g02780 + Gm01 2274536 2279788
Glyma01g02790 - Gm01 2280471 2285921
Glyma01g02800 + Gm01 2291397 2296898
Glyma01g02810 - Gm01 2297164 2301083
Glyma01g02820 - Gm01 2307295 2310370
Glyma01g02830 + Gm01 2321569 2323713
Glyma01g02840 + Gm01 2324681 2331967
Glyma01g02850 - Gm01 2336150 2340834
Glyma01g02860 + Gm01 2354020 2354718
Glyma01g02870 + Gm01 2356225 2357185
Glyma01g02880 - Gm01 2360256 2366323
Glyma01g02890 + Gm01 2374003 2395373
Glyma01g02900 + Gm01 2398119 2407017
Glyma01g02910 + Gm01 2416536 2417882
Glyma01g02920 + Gm01 2419559 2420895
Glyma01g02930 + Gm01 2424960 2425935
Glyma01g02940 - Gm01 2426879 2435107
Glyma01g02950 + Gm01 2448774 2450132
Glyma01g02970 + Gm01 2463992 2464183
Glyma01g02980 + Gm01 2466315 2466501
Glyma01g02990 + Gm01 2477166 2480811
Glyma01g03000 + Gm01 2482992 2484668
Glyma01g03010 + Gm01 2495840 2496586
Glyma01g03020 - Gm01 2497809 2500071
Glyma01g03030 + Gm01 2522480 2524902
Glyma01g03040 - Gm01 2530897 2537713
Glyma01g03050 + Gm01 2544034 2544943
Glyma01g03060 - Gm01 2552180 2553099
Glyma01g03070 + Gm01 2585559 2586670
Glyma01g03080 - Gm01 2594612 2596358
Glyma01g03090 + Gm01 2600555 2604925
Glyma01g03100 + Gm01 2633477 2636729
Glyma01g03110 + Gm01 2667830 2669115
Glyma01g03120 - Gm01 2683541 2685948
Glyma01g03130 - Gm01 2686842 2689859
Glyma01g03140 - Gm01 2696669 2697345
Glyma01g03150 - Gm01 2697511 2699912
Glyma01g03160 - Gm01 2716483 2724699
Glyma01g03170 + Gm01 2725901 2726403
Glyma01g03180 + Gm01 2727652 2731206
Glyma01g03190 - Gm01 2731456 2737749
Glyma01g03200 + Gm01 2741980 2744444
Glyma01g03210 + Gm01 2749514 2751478
Glyma01g03220 - Gm01 2752605 2755458
Glyma01g03230 - Gm01 2762344 2762559
Glyma01g03240 - Gm01 2765667 2766262
Glyma01g03250 + Gm01 2774735 2776478
Glyma01g03260 - Gm01 2784908 2792415
Glyma01g03270 + Gm01 2803111 2807307
Glyma01g03280 + Gm01 2811144 2811321
Glyma01g03290 + Gm01 2814293 2814876
Glyma01g03300 - Gm01 2815712 2817224
Glyma01g03310 - Gm01 2820385 2822485
Glyma01g03320 + Gm01 2826630 2830040
Glyma01g03330 + Gm01 2835809 2840899
Glyma01g03340 - Gm01 2843368 2847229
Glyma01g03350 - Gm01 2853412 2856103
Glyma01g03360 - Gm01 2857690 2860816
Glyma01g03370 - Gm01 2870817 2871472
Glyma01g03380 - Gm01 2872851 2875923
Glyma01g03390 - Gm01 2879293 2884084
Glyma01g03400 - Gm01 2896136 2899055
Glyma01g03410 + Gm01 2907609 2911173
Glyma01g03420 + Gm01 2914857 2917824
Glyma01g03430 - Gm01 2918597 2922110
Glyma01g03440 + Gm01 2929163 2931109
Glyma01g03450 - Gm01 2932392 2940956
Glyma01g03460 + Gm01 2981917 2982903
Glyma01g03470 + Gm01 2984285 2985063
Glyma01g03480 - Gm01 2986001 2990511
Glyma01g03490 - Gm01 2997764 3004347
Glyma01g03500 - Gm01 3021070 3022072
Glyma01g03510 - Gm01 3030100 3031353
Glyma01g03520 - Gm01 3037216 3037609
Glyma01g03530 - Gm01 3043844 3047833
Glyma01g03540 + Gm01 3063236 3065973
Glyma01g03550 - Gm01 3067833 3073605
Glyma01g03570 + Gm01 3082364 3083166
Glyma01g03580 + Gm01 3090951 3093325
Glyma01g03590 - Gm01 3106636 3108462
Glyma01g03600 + Gm01 3114422 3119052
Glyma01g03610 + Gm01 3120595 3124029
Glyma01g03620 - Gm01 3125503 3126123
Glyma01g03630 - Gm01 3127062 3127831
Glyma01g03640 + Gm01 3127958 3128735
Glyma01g03650 + Gm01 3132306 3135334
Glyma01g03660 - Gm01 3135347 3137305
Glyma01g03670 + Gm01 3144865 3145780
Glyma01g03680 + Gm01 3148240 3150145
Glyma01g03690 - Gm01 3152228 3157274
Glyma01g03700 + Gm01 3163150 3164290
Glyma01g03710 - Gm01 3167771 3172324
Glyma01g03720 + Gm01 3174048 3185106
Glyma01g03730 - Gm01 3187535 3190872
Glyma01g03750 + Gm01 3194371 3200473
Glyma01g03760 + Gm01 3219952 3222340
Glyma01g03770 + Gm01 3230213 3231021
Glyma01g03780 + Gm01 3233271 3233747
Glyma01g03790 + Gm01 3242785 3245264
Glyma01g03800 - Gm01 3248541 3249456
Glyma01g03810 + Gm01 3249541 3255779
Glyma01g03820 - Gm01 3263268 3267546
Glyma01g03830 + Gm01 3283683 3286899
Glyma01g03840 - Gm01 3300729 3301004
Glyma01g03850 + Gm01 3313043 3318910
Glyma01g03860 + Gm01 3326563 3327038
Glyma01g03870 + Gm01 3329385 3332529
Glyma01g03880 + Gm01 3348965 3352322
Glyma01g03890 + Gm01 3359817 3372605
Glyma01g03900 - Gm01 3378406 3380009
Glyma01g03910 - Gm01 3382030 3384035
Glyma01g03920 + Gm01 3390440 3395087
Glyma01g03930 + Gm01 3400559 3411009
Glyma01g03940 - Gm01 3413505 3415816
Glyma01g03950 - Gm01 3423774 3424367
Glyma01g03960 - Gm01 3432112 3436270
Glyma01g03970 + Gm01 3452391 3452608
Glyma01g03980 + Gm01 3455759 3459862
Glyma01g03990 + Gm01 3469649 3471124
Glyma01g04000 + Gm01 3488013 3493990
Glyma01g04010 - Gm01 3504630 3505072
Glyma01g04020 + Gm01 3506291 3507452
Glyma01g04030 + Gm01 3513145 3513438
Glyma01g04040 + Gm01 3514719 3521368
Glyma01g04050 + Gm01 3524161 3527703
Glyma01g04060 + Gm01 3533635 3537715
Glyma01g04070 - Gm01 3541121 3543127
Glyma01g04080 + Gm01 3553108 3557178
Glyma01g04090 - Gm01 3553705 3560683
Glyma01g04100 - Gm01 3565423 3567749
Glyma01g04110 + Gm01 3571056 3572033
Glyma01g04120 - Gm01 3576945 3578133
Glyma01g04130 - Gm01 3588383 3590855
Glyma01g04140 - Gm01 3593853 3595627
Glyma01g04150 - Gm01 3601874 3603798
Glyma01g04160 + Gm01 3614927 3619091
Glyma01g04170 + Gm01 3622480 3627999
Glyma01g04180 + Gm01 3634158 3636198
Glyma01g04190 + Gm01 3658198 3659838
Glyma01g04200 + Gm01 3672546 3674768
Glyma01g04210 - Gm01 3696442 3696844
Glyma01g04220 - Gm01 3697024 3699869
Glyma01g04230 + Gm01 3717710 3721163
Glyma01g04240 + Gm01 3734670 3742118
Glyma01g04250 - Gm01 3750075 3752327
Glyma01g04260 - Gm01 3766329 3769747
Glyma01g04270 - Gm01 3770902 3774518
Glyma01g04280 - Gm01 3786570 3790845
Glyma01g04290 + Gm01 3792989 3793462
Glyma01g04300 - Gm01 3800615 3805030
Glyma01g04310 - Gm01 3839079 3840241
Glyma01g04320 - Gm01 3844015 3851321
Glyma01g04330 - Gm01 3875179 3876040
Glyma01g04340 - Gm01 3894969 3896711
Glyma01g04350 - Gm01 3901291 3902364
Glyma01g04360 + Gm01 3901057 3902892
Glyma01g04370 + Gm01 3910893 3911867
Glyma01g04380 - Gm01 3925183 3926952
Glyma01g04390 + Gm01 3935937 3937261
Glyma01g04400 - Gm01 3936747 3941259
Glyma01g04410 - Gm01 3950821 3954959
Glyma01g04420 + Gm01 3965620 3966838
Glyma01g04430 + Gm01 3981300 3983769
Glyma01g04440 - Gm01 3984577 3989278
Glyma01g04450 + Gm01 3990807 3991883
Glyma01g04460 - Gm01 3993576 3995385
Glyma01g04470 - Gm01 4005381 4009458
Glyma01g04480 - Gm01 4012613 4014722
Glyma01g04490 - Gm01 4023451 4035055
Glyma01g04500 + Gm01 4070344 4074511
Glyma01g04510 + Gm01 4094303 4096197
Glyma01g04520 - Gm01 4099619 4100401
Glyma01g04530 + Gm01 4108730 4110689
Glyma01g04540 + Gm01 4121247 4123390
Glyma01g04550 + Gm01 4129019 4132534
Glyma01g04560 + Gm01 4135197 4138741
Glyma01g04570 - Gm01 4140543 4144775
Glyma01g04580 - Gm01 4160842 4163103
Glyma01g04590 + Gm01 4190720 4198687
Glyma01g04600 + Gm01 4213216 4215272
Glyma01g04610 - Gm01 4217487 4221346
Glyma01g04620 - Gm01 4234788 4235282
Glyma01g04630 + Gm01 4268127 4273486
Glyma01g04640 - Gm01 4278039 4280527
Glyma01g04650 - Gm01 4283347 4288201
Glyma01g04660 + Gm01 4294187 4299823
Glyma01g04670 - Gm01 4302490 4303719
Glyma01g04680 - Gm01 4307118 4309098
Glyma01g04690 + Gm01 4314405 4316227
Glyma01g04700 + Gm01 4319543 4320884
Glyma01g04710 + Gm01 4323786 4325355
Glyma01g04720 + Gm01 4331282 4335958
Glyma01g04730 + Gm01 4347943 4356873
Glyma01g04740 + Gm01 4358997 4360976
Glyma01g04750 + Gm01 4367525 4369951
Glyma01g04760 - Gm01 4370232 4371424
Glyma01g04770 + Gm01 4372757 4373463
Glyma01g04780 + Gm01 4374996 4375777
Glyma01g04790 - Gm01 4376287 4379431
Glyma01g04800 - Gm01 4381706 4382605
Glyma01g04810 - Gm01 4398560 4400009
Glyma01g04820 - Gm01 4406682 4412750
Glyma01g04830 - Gm01 4435159 4439653
Glyma01g04850 - Gm01 4453251 4456126
Glyma01g04860 + Gm01 4463508 4467621
Glyma01g04870 - Gm01 4468584 4471008
Glyma01g04880 - Gm01 4472599 4474522
Glyma01g04890 - Gm01 4508124 4510717
Glyma01g04900 + Gm01 4581647 4587982
Glyma01g04910 + Gm01 4589876 4590070
Glyma01g04920 - Gm01 4591526 4596345
Glyma01g04930 + Gm01 4617480 4621245
Glyma01g04940 - Gm01 4624088 4626543
Glyma01g04950 + Gm01 4628267 4630881
Glyma01g04960 + Gm01 4640564 4640842
Glyma01g04970 + Gm01 4643025 4645702
Glyma01g04980 - Gm01 4649200 4655437
Glyma01g04990 - Gm01 4658508 4659581
Glyma01g05000 + Gm01 4661312 4665746
Glyma01g05010 - Gm01 4667990 4668604
Glyma01g05020 + Gm01 4671908 4673103
Glyma01g05030 + Gm01 4673973 4676179
Glyma01g05040 + Gm01 4688555 4688680
Glyma01g05050 + Gm01 4689528 4692149
Glyma01g05060 + Gm01 4706535 4710223
Glyma01g05070 - Gm01 4710247 4716428
Glyma01g05080 + Gm01 4729251 4732808
Glyma01g05090 - Gm01 4733194 4736827
Glyma01g05100 + Gm01 4750910 4755250
Glyma01g05110 - Gm01 4767630 4767938
Glyma01g05120 + Gm01 4767635 4768507
Glyma01g05130 - Gm01 4772516 4774260
Glyma01g05140 + Gm01 4779052 4780523
Glyma01g05150 - Gm01 4806012 4807616
Glyma01g05160 - Gm01 4822885 4826780
Glyma01g05170 + Gm01 4850845 4854683
Glyma01g05180 + Gm01 4855330 4856892
Glyma01g05190 - Gm01 4855330 4862413
Glyma01g05200 + Gm01 4866410 4866526
Glyma01g05210 - Gm01 4866581 4866832
Glyma01g05220 - Gm01 4892357 4893061
Glyma01g05230 - Gm01 4900509 4903516
Glyma01g05240 - Gm01 4928139 4929616
Glyma01g05250 - Gm01 4937707 4948163
Glyma01g05260 + Gm01 4939330 4939877
Glyma01g05270 + Gm01 4949591 4950388
Glyma01g05280 + Gm01 4950770 4952158
Glyma01g05290 - Gm01 4953823 4954121
Glyma01g05300 + Gm01 4956145 4956250
Glyma01g05310 - Gm01 4961822 4962889
Glyma01g05320 - Gm01 5005455 5010050
Glyma01g05330 + Gm01 5020414 5021405
Glyma01g05340 + Gm01 5038111 5041820
Glyma01g05350 + Gm01 5084268 5085180
Glyma01g05360 + Gm01 5110906 5113814
Glyma01g05370 - Gm01 5119387 5122289
Glyma01g05380 + Gm01 5160361 5161836
Glyma01g05390 + Gm01 5164084 5165652
Glyma01g05400 - Gm01 5167114 5169667
Glyma01g05410 - Gm01 5213840 5215370
Glyma01g05420 - Gm01 5228399 5229678
Glyma01g05430 - Gm01 5253015 5257886
Glyma01g05440 - Gm01 5264176 5267810
Glyma01g05450 - Gm01 5286726 5287409
Glyma01g05460 - Gm01 5295305 5295525
Glyma01g05470 + Gm01 5305194 5307172
Glyma01g05480 + Gm01 5308852 5312373
Glyma01g05490 - Gm01 5313780 5317314
Glyma01g05500 - Gm01 5323819 5325556
Glyma01g05510 + Gm01 5329223 5329622
Glyma01g05520 + Gm01 5335609 5335687
Glyma01g05530 + Gm01 5339108 5339401
Glyma01g05540 + Gm01 5340159 5347833
Glyma01g05550 + Gm01 5349046 5352087
Glyma01g05560 - Gm01 5366652 5367984
Glyma01g05570 + Gm01 5369306 5369571
Glyma01g05580 - Gm01 5372500 5376619
Glyma01g05590 - Gm01 5381894 5384091
Glyma01g05600 + Gm01 5387606 5388454
Glyma01g05610 + Gm01 5395569 5396123
Glyma01g05620 + Gm01 5408088 5409869
Glyma01g05630 - Gm01 5410531 5410941
Glyma01g05640 + Gm01 5411516 5413057
Glyma01g05650 - Gm01 5413192 5413637
Glyma01g05660 - Gm01 5415178 5416245
Glyma01g05670 + Gm01 5425164 5426438
Glyma01g05680 + Gm01 5434978 5437240
Glyma01g05690 + Gm01 5445796 5449230
Glyma01g05700 - Gm01 5446956 5447243
Glyma01g05710 - Gm01 5451642 5455897
Glyma01g05720 + Gm01 5461783 5461971
Glyma01g05730 - Gm01 5463935 5464869
Glyma01g05740 - Gm01 5471233 5473249
Glyma01g05750 + Gm01 5490270 5498435
Glyma01g05760 - Gm01 5496196 5497058
Glyma01g05770 + Gm01 5507010 5510925
Glyma01g05780 + Gm01 5532191 5532902
Glyma01g05800 + Gm01 5536273 5540794
Glyma01g05810 + Gm01 5571889 5573069
Glyma01g05820 + Gm01 5583699 5588369
Glyma01g05830 + Gm01 5591936 5594050
Glyma01g05840 + Gm01 5603555 5605881
Glyma01g05850 + Gm01 5614321 5617834
Glyma01g05860 + Gm01 5646446 5652182
Glyma01g05870 - Gm01 5655516 5656727
Glyma01g05880 + Gm01 5667533 5668521
Glyma01g05890 - Gm01 5668764 5670717
Glyma01g05900 - Gm01 5681731 5683809
Glyma01g05910 - Gm01 5697314 5698066
Glyma01g05920 - Gm01 5704390 5706226
Glyma01g05930 + Gm01 5721845 5722014
Glyma01g05940 - Gm01 5723346 5724230
Glyma01g05950 + Gm01 5727614 5728174
Glyma01g05960 + Gm01 5751839 5753967
Glyma01g05970 + Gm01 5789077 5789854
Glyma01g05980 - Gm01 5800993 5803156
Glyma01g05990 + Gm01 5815189 5815740
Glyma01g06000 + Gm01 5820588 5820979
Glyma01g06010 - Gm01 5849367 5850525
Glyma01g06020 + Gm01 5855768 5855936
Glyma01g06030 - Gm01 5873733 5875963
Glyma01g06040 + Gm01 5878390 5879314
Glyma01g06050 + Gm01 5924771 5925369
Glyma01g06060 - Gm01 5950737 5957309
Glyma01g06080 - Gm01 5980819 5983634
Glyma01g06090 + Gm01 6001899 6002345
Glyma01g06100 + Gm01 6012890 6014703
Glyma01g06110 - Gm01 6014691 6016793
Glyma01g06120 - Gm01 6019836 6027695
Glyma01g06130 - Gm01 6032725 6035200
Glyma01g06140 + Gm01 6037635 6042373
Glyma01g06150 - Gm01 6047218 6048992
Glyma01g06160 - Gm01 6070214 6070503
Glyma01g06170 + Gm01 6071254 6081494
Glyma01g06180 + Gm01 6095725 6096641
Glyma01g06190 + Gm01 6100660 6102522
Glyma01g06200 + Gm01 6131252 6132032
Glyma01g06210 + Gm01 6188068 6188160
Glyma01g06220 + Gm01 6238770 6239585
Glyma01g06230 + Gm01 6266578 6266953
Glyma01g06240 - Gm01 6282137 6282844
Glyma01g06250 + Gm01 6303835 6304812
Glyma01g06260 + Gm01 6314294 6321769
Glyma01g06270 - Gm01 6353324 6356956
Glyma01g06280 - Gm01 6358176 6364784
Glyma01g06290 - Gm01 6415864 6425998
Glyma01g06300 - Gm01 6427441 6430459
Glyma01g06320 - Gm01 6438575 6443164
Glyma01g06330 + Gm01 6463490 6464681
Glyma01g06340 + Gm01 6506167 6508404
Glyma01g06350 + Gm01 6519875 6525338
Glyma01g06360 + Gm01 6526327 6528004
Glyma01g06370 + Gm01 6609180 6611941
Glyma01g06380 - Gm01 6619251 6624809
Glyma01g06390 + Gm01 6650031 6650169
Glyma01g06400 - Gm01 6653832 6654651
Glyma01g06410 - Gm01 6656521 6658132
Glyma01g06420 + Gm01 6672913 6674439
Glyma01g06440 - Gm01 6690371 6692021
Glyma01g06450 - Gm01 6697587 6703879
Glyma01g06460 - Gm01 6721752 6723447
Glyma01g06470 + Gm01 6734278 6735092
Glyma01g06480 - Gm01 6737091 6743586
Glyma01g06490 + Gm01 6740975 6742234
Glyma01g06500 - Gm01 6756192 6756430
Glyma01g06520 - Gm01 6772505 6773180
Glyma01g06530 + Gm01 6775365 6779741
Glyma01g06540 + Gm01 6785376 6790872
Glyma01g06550 - Gm01 6797680 6802906
Glyma01g06560 - Gm01 6820227 6822129
Glyma01g06570 + Gm01 6859474 6859911
Glyma01g06580 + Gm01 6936423 6936692
Glyma01g06590 + Gm01 6939498 6941735
Glyma01g06600 - Gm01 6945959 6947765
Glyma01g06610 - Gm01 6950141 6956662
Glyma01g06620 - Gm01 6963808 6967385
